Question;Réponse;Sujet
Si un triangle a une base de 10 cm et une hauteur de 15 cm, quelle est son aire ?;75 cm²;Mathématiques
Quelle est la valeur de 5³ ?;125;Mathématiques
Si un rectangle a un périmètre de 50 cm et une largeur de 10 cm, quelle est sa longueur ?;15 cm;Mathématiques
Quel est le résultat de 18 × 5 - 12 ÷ 4 ?;86;Mathématiques
Quel est le volume d’un cube dont l’arête mesure 4 cm ?;64 cm³;Mathématiques
Qui était le dirigeant de l'URSS pendant la Seconde Guerre mondiale ?;Joseph Staline;Histoire
Quel était le principal objectif des croisades ?;Reconquérir Jérusalem;Histoire
En quelle année Christophe Colomb a-t-il découvert l'Amérique ?;1492;Histoire
Quel traité a marqué la fin de la Guerre de Trente Ans ?;Le traité de Westphalie;Histoire
Quel empire a précédé l'Empire romain dans le bassin méditerranéen ?;L'Empire grec;Histoire
Quel océan se trouve au nord de la Russie ?;L'océan Arctique;Géographie
Quelle est la plus longue chaîne de montagnes au monde ?;Les Andes;Géographie
Quelle rivière forme une partie de la frontière entre les États-Unis et le Mexique ?;Le Rio Grande;Géographie
Quelle est la capitale de l'Afrique du Sud parmi ses trois capitales officielles ?;Pretoria;Géographie
Quel est le plus grand pays d'Afrique par sa superficie ?;L'Algérie;Géographie
Quel type de roche se forme à partir de magma refroidi ?;Les roches ignées;Sciences
Comment s'appelle le processus par lequel les cellules produisent de l'énergie à partir du glucose ?;La respiration cellulaire;Sciences
Quel est l'organe responsable de la production d'insuline dans le corps humain ?;Le pancréas;Sciences
Quel est l’élément chimique ayant le numéro atomique 1 ?;L'hydrogène;Sciences
Comment appelle-t-on un organisme qui se nourrit d'autres organismes ?;Un hétérotrophe;Sciences
Quelle est la probabilité d'obtenir un nombre pair lors d'un lancer de dé ?;1/2;Mathématiques
Combien y a-t-il de secondes dans une journée ?;86400;Mathématiques
Si une voiture parcourt 120 km en 2 heures, quelle est sa vitesse moyenne ?;60 km/h;Mathématiques
Combien de côtés a un dodécagone ?;12;Mathématiques
Si deux angles d'un triangle mesurent 40° et 70°, combien mesure le troisième angle ?;70°;Mathématiques
Quel est le nom de la doctrine politique instaurée par Adolf Hitler ?;Le nazisme;Histoire
Quel événement historique a eu lieu le 6 juin 1944 ?;Le Débarquement en Normandie;Histoire
Quel pays européen était une dictature sous le général Franco ?;L'Espagne;Histoire
Quel empire s'est effondré en 476 après J.-C. ?;L'Empire romain;Histoire
Quelle invention est attribuée aux Chinois vers le IXe siècle ?;La poudre à canon;Histoire
Quelle région de France est surnommée \"le grenier à blé\" ?;La Beauce;Géographie
Quelle rivière est surnommée \"le fleuve jaune\" en Chine ?;Le Huang He;Géographie
Quel pays est le plus petit d'Amérique du Sud ?;Le Suriname;Géographie
Quelle est la capitale du Brésil ?;Brasilia;Géographie
Quel pays est séparé de la France par la Manche ?;Le Royaume-Uni;Géographie
Comment appelle-t-on le point où deux plaques tectoniques se rencontrent ?;Une faille;Sciences
Quelle planète du système solaire possède le plus de lunes ?;Saturne;Sciences
Comment s'appelle l'étude des étoiles et des planètes ?;L'astronomie;Sciences
Quel est l'acide présent dans l'estomac humain ?;L'acide chlorhydrique;Sciences
Comment appelle-t-on une étoile mourante qui explose ?;Une supernova;Sciences
