Question;Réponse;Sujet
Quel est le résultat de 7 + 2 ?;9;Mathématiques
Combien font 15 - 7 ?;8;Mathématiques
Combien font 3 x 4 ?;12;Mathématiques
Combien font 16 ÷ 4 ?;4;Mathématiques
Quel est le carré de 5 ?;25;Mathématiques
Qui a écrit la Déclaration des Droits de l'Homme et du Citoyen ?;L'Assemblée Nationale;Histoire
En quelle année a commencé la Première Guerre mondiale ?;1914;Histoire
Quel roi est surnommé \"Le Roi Soleil\" ?;Louis XIV;Histoire
Qui a découvert l'Amérique ?;Christophe Colomb;Histoire
Quelle est la capitale des États-Unis ?;Washington D.C.;Géographie
Quel est le plus grand désert du monde ?;Le Sahara;Géographie
Quelle est la capitale de l'Allemagne ?;Berlin;Géographie
Quel est le plus haut sommet du monde ?;L'Everest;Géographie
Quel continent est surnommé le \"continent noir\" ?;L'Afrique;Géographie
Quel gaz respirons-nous principalement ?;L'oxygène;Sciences
Quel est l'état de la matière de l'eau à 100°C ?;Gaz;Sciences
Quel est l'animal terrestre le plus rapide ?;Le guépard;Sciences
Quel organe est responsable de la digestion ?;L'estomac;Sciences
Quel est le symbole chimique de l'eau ?;H2O;Sciences
Quel est le triple de 7 ?;21;Mathématiques
Quelle est la valeur de 10² ?;100;Mathématiques
Combien font 5 x 8 ?;40;Mathématiques
Combien font 81 ÷ 9 ?;9;Mathématiques
Quel est le résultat de 13 + 6 ?;19;Mathématiques
En quelle année s'est déroulée la bataille de Verdun ?;1916;Histoire
Quel pays a été dirigé par Napoléon Bonaparte ?;La France;Histoire
Qui était le premier empereur romain ?;Auguste;Histoire
Quel événement marque la fin du Moyen Âge ?;La prise de Constantinople;Histoire
Qui a été couronné roi d'Angleterre en 1066 ?;Guillaume le Conquérant;Histoire
Quel est le fleuve qui traverse l'Égypte ?;Le Nil;Géographie
Quelle mer borde la côte sud de la France ?;La mer Méditerranée;Géographie
Quel pays a pour capitale Canberra ?;L'Australie;Géographie
Quel est le plus grand pays du monde par sa superficie ?;La Russie;Géographie
Quel est le continent le plus froid ?;L'Antarctique;Géographie
Quel organe humain est responsable de la respiration ?;Les poumons;Sciences
Quel est l'état de la matière de la glace ?;Solide;Sciences
Quel est le plus petit os du corps humain ?;L'étrier;Sciences
Quel est l'élément chimique représenté par le symbole \"O\" ?;L'oxygène;Sciences
Combien font 14 ÷ 2 ?;7;Mathématiques
Quel est le résultat de 18 - 9 ?;9;Mathématiques
Quel est le cube de 3 ?;27;Mathématiques
Combien font 6 x 6 ?;36;Mathématiques
Quel est le résultat de 50 ÷ 5 ?;10;Mathématiques
Qui a signé l'Édit de Nantes ?;Henri IV;Histoire
En quelle année a eu lieu la Révolution industrielle ?;Au XVIIIe siècle;Histoire
Quel pays a été envahi par l'Allemagne en 1939 ?;La Pologne;Histoire
Qui était le principal rival de Jules César ?;Pompée;Histoire
Quel pays a été le théâtre de la bataille de Waterloo ?;La Belgique;Histoire
Quelle est la capitale du Japon ?;Tokyo;Géographie
Quel est le plus grand océan du monde ?;L'océan Pacifique;Géographie
Quel pays est traversé par le fleuve Amazone ?;Le Brésil;Géographie
Quelle chaîne de montagnes se trouve entre l'Europe et l'Asie ?;L'Oural;Géographie
Quelle est la capitale de l'Italie ?;Rome;Géographie
Quel est le plus grand organe du corps humain ?;La peau;Sciences
Quel est le nom scientifique du sucre ?;Le glucose;Sciences
Quelle planète est connue comme \"la planète rouge\" ?;Mars;Sciences
Quel est l'organe principal du système nerveux ?;Le cerveau;Sciences
Quel est le symbole chimique du sodium ?;Na;Sciences
Combien font 25 x 2 ?;50;Mathématiques
Quel est le résultat de 8² ?;64;Mathématiques
Combien font 100 - 45 ?;55;Mathématiques
Combien font 42 ÷ 6 ?;7;Mathématiques
Quel est le carré de 9 ?;81;Mathématiques
Qui a écrit \"Les Misérables\" ?;Victor Hugo;Histoire
Qui a été le premier président des États-Unis ?;George Washington;Histoire
Quel est le pays d'origine des Jeux Olympiques ?;La Grèce;Histoire
En quelle année l'homme a-t-il marché sur la Lune ?;1969;Histoire
Qui a peint la Joconde ?;Léonard de Vinci;Histoire
Quelle est la capitale de la Russie ?;Moscou;Géographie
Quel est le plus petit pays du monde ?;Le Vatican;Géographie
Quel pays est surnommé \"le pays du Soleil-Levant\" ?;Le Japon;Géographie
Quelle rivière traverse Londres ?;La Tamise;Géographie
Quelle est la capitale du Canada ?;Ottawa;Géographie
Quel est l'état de la matière du mercure à température ambiante ?;Liquide;Sciences
Quelle est l'unité de mesure de l'intensité électrique ?;L'ampère;Sciences
Quel est l'élément chimique représenté par \"Fe\" ?;Le fer;Sciences
Quelle est la durée de révolution de la Terre autour du Soleil ?;365 jours;Sciences
Quelle est la vitesse de la lumière ?;300 000 km/s;Sciences
